2021-08-16 00:14:01+01,0.3,SMS
2021-08-16 00:54:43+01,0.15,SMS
2021-08-16 00:04:29+01,0.15,SMS
2021-08-16 00:39:05+01,0.15,SMS
2021-08-16 00:14:19+01,0.3,SMS
2021-08-16 00:14:02+01,0.15,SMS
2021-08-16 00:09:14+01,0.75,SMS
2021-08-16 00:48:53+01,0.3,***
2021-08-16 00:06:21+01,0.15,SMS
2021-08-16 00:57:22+01,0.3,SMS
2021-08-16 02:02:10+01,0.3,SMS
2021-08-16 00:00:51+01,0.15,SMS
2021-08-16 00:41:21+01,0.3,SMS
2021-08-16 00:06:27+01,1.5,SMS
2021-08-16 00:15:02+01,0.15,SMS
2021-08-16 09:46:51+01,0.75,SMS
2021-08-16 10:31:13+01,0.15,SMS
2021-08-16 11:13:21+01,0.3,SMS
2021-08-16 00:31:58+01,0.3,SMS
2021-08-16 06:29:18+01,0.15,SMS
2021-08-16 00:19:00+01,0.3,SMS
2021-08-16 01:33:36+01,0.3,SMS
2021-08-16 02:20:03+01,0.3,SMS
2021-08-16 03:59:14+01,0.75,SMS
2021-08-16 08:12:01+01,0.3,SMS
2021-08-16 04:57:57+01,0.3,SMS
2021-08-16 09:08:40+01,0.3,SMS
2021-08-16 11:34:37+01,0.15,SMS
2021-08-16 04:33:53+01,0.3,SMS
2021-08-16 06:37:06+01,0.3,SMS
2021-08-16 07:06:10+01,0.3,SMS
2021-08-16 01:56:28+01,0.3,SMS
2021-08-16 08:16:02+01,0.75,SMS
2021-08-16 03:37:03+01,0.3,SMS
2021-08-16 00:17:26+01,0.3,SMS
2021-08-16 07:42:33+01,0.3,SMS
2021-08-16 08:57:45+01,0.3,SMS
2021-08-16 09:10:23+01,0.75,SMS
2021-08-16 06:14:20+01,0.15,SMS
2021-08-16 00:04:00+01,0.3,SMS
2021-08-16 03:36:15+01,0.75,SMS
2021-08-16 00:55:43+01,0.15,SMS
2021-08-16 01:43:20+01,0.15,SMS
2021-08-16 10:38:45+01,0.3,SMS
2021-08-16 11:05:08+01,0.3,SMS
2021-08-16 02:45:30+01,0.75,SMS
************,1.87,SMS
2021-08-16 06:03:57+01,0.75,SMS
2021-08-16 00:04:44+01,0.3,SMS
2021-08-16 07:37:47+01,0.75,SMS
2021-08-16 05:19:02+01,0.15,SMS
2021-08-16 07:59:05+01,0.15,SMS
2021-08-16 00:23:19+01,0.75,USSD
2021-08-16 01:05:47+01,0.15,SMS
2021-08-16 01:42:31+01,0.75,SMS
2021-08-16 03:32:25+01,1.5,SMS
2021-08-16 09:21:08+01,0.3,SMS
2021-08-16 09:54:33+01,0.15,SMS
2021-08-16 07:47:11+01,0.75,SMS
2021-08-16 06:08:18+01,0.75,SMS
2021-08-16 06:09:18+01,0.9,
2021-08-16 00:37:23+01,0.3,SMS
2021-08-16 07:19:31+01,0.75,SMS
2021-08-16 07:32:02+01,0.15,SMS
2021-08-16 09:01:10+01,0.3,SMS
2021-08-16 09:29:47+01,0.3,SMS
2021-08-16 00:43:09+01,0.75,SMS
2021-08-16 07:20:50+01,1.5,SMS
2021-08-16 06:55:06+01,0.15,SMS
2021-08-16 07:09:22+01,0.3,SMS
2021-08-16 09:10:10+01,###,SMS
2021-08-16 00:16:53+01,0.3,SMS
2021-08-16 02:36:24+01,0.3,SMS
2021-08-16 05:25:46+01,0.15,SMS
2021-08-16 07:55:36+01,0.15,SMS
2021-08-16 02:37:59+01,0.3,USSD
2021-08-16 09:00:19+01,1.5,SMS
2021-08-16 09:54:26+01,0.15,SMS
2021-08-16 00:08:35+01,0.15,SMS
2021-08-16 04:04:01+01,1.5,SMS
2021-08-16 06:20:07+01,0.15,SMS
2021-08-16 07:27:55+01,0.75,SMS
2021-08-16 01:52:21+01,0.15,SMS
2021-08-16 00:51:45+01,0.3,SMS
2021-08-16 00:14:25+01,0.3,SMS
2021-08-16 09:16:58+01,0.3,SMS
2021-08-16 09:53:20+01,0.3,SMS
,0.47,USSD
2021-08-16 10:21:27+01,0.75,SMS
2021-08-16 00:15:23+01,0.3,SMS
2021-08-16 07:04:50+01,0.15,SMS
2021-08-16 08:10:34+01,0.15,SMS
2021-08-16 06:12:14+01,0.15,SMS
2021-08-16 09:03:43+01,0.3,SMS
2021-08-16 10:06:23+01,0.3,USSD
2021-08-16 06:49:37+01,0.3,SMS
2021-08-16 08:35:02+01,0.75,SMS
2021-08-16 09:57:33+01,0.15,SMS
2021-08-16 07:46:13+01,0.3,SMS
2021-08-16 08:58:37+01,0.15,SMS
2021-08-16 09:09:42+01,1.5,SMS
2021-08-16 06:14:10+01,0.3,SMS
2021-08-16 08:04:58+01,0.3,SMS
2021-08-16 01:10:14+01,0.3,SMS
